location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goalkeeper_success_out,half_end_early_video_end,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[100.5, 22.7]",Marek Hamšík,7025.0,Left Center Midfield,0,0,0.024202913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,100.5,22.7,26.067988031299997,13.230123660897528
"[110.3, 44.3]",Gonzalo Gerardo Higuaín,5497.0,Center Forward,0,0,0.05138803,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,110.3,44.3,10.610372283760832,38.781145409875435
"[85.5, 28.6]",Faouzi Ghoulam,8876.0,Left Back,0,0,0.0061231037,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,85.5,28.6,36.334694164118126,11.948778322492192
"[109.8, 33.9]",Sergio Pellissier,8644.0,Center Forward,0,0,0.057370733,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.8,33.9,11.884864324004717,33.0841230647887
"[102.0, 26.7]",Paul-José M''Poku Ebunge,18946.0,Left Wing,0,0,0.039481714,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.0,26.7,22.380571931923456,16.54008065896538
"[108.6, 58.4]",Lucas Nahuel Castro,7049.0,Right Wing,0,0,0.012315105,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.6,58.4,21.6453228204155,11.394641951217798
"[98.5, 28.6]",Lorenzo Insigne,7037.0,Left Wing,0,0,0.033402987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,98.5,28.6,24.335365211970828,16.6204843757951
"[91.0, 46.2]",Nicola Rigoni,7041.0,Left Defensive Midfield,0,0,0.01662363,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,91.0,46.2,29.65535364820322,15.039737263964824
"[99.5, 27.5]",Marek Hamšík,7025.0,Left Center Midfield,0,1,0.030928139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,99.5,27.5,24.01041440708594,16.309259302073503
"[108.2, 43.7]",José María Callejón Bueno,7029.0,Right Wing,1,0,0.14129032,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,108.2,43.7,12.366486970841798,34.5825095319661
"[106.9, 53.8]",Gonzalo Gerardo Higuaín,5497.0,Center Forward,0,0,0.07047235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,106.9,53.8,19.02761151589972,16.848748100945457
"[106.3, 50.1]",José María Callejón Bueno,7029.0,Right Wing,0,1,0.105639935,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,106.3,50.1,17.020575783445167,21.82306185523217
"[96.5, 21.1]",Faouzi Ghoulam,8876.0,Left Back,0,0,0.008743718,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,96.5,21.1,30.15725451694832,11.882711188313282
"[113.5, 42.7]",José María Callejón Bueno,7029.0,Right Wing,0,1,0.48991403,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,113.5,42.7,7.03846574190711,57.177983923765744
"[112.1, 29.6]",Riccardo Meggiorini,11643.0,Center Attacking Midfield,0,1,0.07610481,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,112.1,29.6,13.06024502067247,22.23848640956591
"[104.1, 45.4]",Gonzalo Gerardo Higuaín,5497.0,Center Forward,0,0,0.19692397,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,104.1,45.4,16.79196236298784,25.559431585815698
"[97.9, 31.7]",Allan Marques Loureiro,7035.0,Right Center Midfield,0,0,0.056271713,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,97.9,31.7,23.60720229082641,18.088130158468985
"[108.9, 23.2]",Dries Mertens,5630.0,Left Wing,0,0,0.028324258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,108.9,23.2,20.135789033459798,12.844638033428339
"[104.0, 50.0]",Ricardo Gabriel Álvarez,8875.0,Right Attacking Midfield,0,1,0.08871102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,104.0,50.0,18.867962264113206,20.62987994612618
"[106.9, 49.9]",Ricardo Gabriel Álvarez,8875.0,Right Attacking Midfield,1,0,0.028199289,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,106.9,49.9,16.42010962204576,22.451227508399686
"[107.0, 37.6]",Fabio Quagliarella,7011.0,Center Forward,0,0,0.46250415,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,107.0,37.6,13.219682295728592,33.22787976255444
"[99.1, 49.5]",Roberto Soriano,6759.0,Left Defensive Midfield,0,1,0.067303725,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,99.1,49.5,22.95778734982969,18.11618920325104
"[109.8, 48.9]",Fabio Quagliarella,7011.0,Center Forward,0,0,0.63605005,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,109.8,48.9,13.536986370680886,26.00739537393402
"[113.4, 37.9]",Antonio Cassano,19850.0,Left Attacking Midfield,0,1,0.64102656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,113.4,37.9,6.926037828369112,58.80541234122564
"[109.2, 38.4]",Luca Toni,20252.0,Left Center Forward,0,1,0.50060546,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,109.2,38.4,10.917875251164942,39.93638314696992
"[94.8, 39.2]",Artur Ioniţă,7949.0,Right Defensive Midfield,0,1,0.04226466,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.8,39.2,25.212695214911083,18.021219893530603
"[107.1, 37.0]",Lazaros Christodoulopoulos,15318.0,Left Wing Back,0,1,0.09283586,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,107.1,37.0,13.244244032786474,32.9185045584568
"[118.2, 44.6]",Luca Toni,20252.0,Center Forward,1,0,0.3574417,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,118.2,44.6,4.939635614091388,59.7435628364707
"[102.4, 40.7]",Roberto Soriano,6759.0,Left Defensive Midfield,0,1,0.10269525,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,102.4,40.7,17.613914953808532,25.571332630079485
"[99.0, 38.0]",Fabio Quagliarella,7011.0,Center Forward,0,0,0.1320531,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,99.0,38.0,21.095023109728988,21.385727931928358
"[102.8, 32.0]",Ante Rebić,5465.0,Left Wing,0,0,0.047764435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.8,32.0,18.969449122207003,21.81060255157787
"[108.5, 25.8]",Fabio Quagliarella,7011.0,Center Forward,0,0,0.08042351,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,108.5,25.8,18.272657168567466,16.140881379726473
"[103.7, 31.9]",Fabio Quagliarella,7011.0,Center Forward,0,0,0.19139333,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,103.7,31.9,18.201648277010516,22.46873340651678
"[96.6, 52.5]",Gilberto Moraes Junior,25303.0,Right Back,0,0,0.023968766,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,96.6,52.5,26.529417634015267,15.225298853502704
"[114.2, 44.1]",Luca Toni,20252.0,Center Forward,0,1,0.5408958,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,114.2,44.1,7.102816342831903,53.407705619927086
"[93.0, 35.2]",Luca Siligardi,11494.0,Center Attacking Midfield,0,0,0.031304657,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,93.0,35.2,27.423347716863454,16.354975749639888
"[108.7, 33.5]",Antonio Cassano,19850.0,Left Attacking Midfield,0,0,0.31535745,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,108.7,33.5,13.036103712382774,30.42323596011975
"[97.9, 31.3]",Roberto Soriano,6759.0,Left Defensive Midfield,0,0,0.07148301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,97.9,31.3,23.750789460563194,17.87808573732989
"[101.1, 48.7]",Rômulo Souza Orestes Caldeira,7694.0,Right Midfield,0,1,0.044521317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,101.1,48.7,20.806249061279647,19.93453862749737
"[92.3, 37.6]",Fernando Lucas Martins,16586.0,Right Defensive Midfield,0,1,0.026661204,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,92.3,37.6,27.803776721877195,16.315552686051383
"[98.1, 30.5]",Juan Ignacio Gómez Taleb,386651.0,Center Attacking Midfield,0,1,0.048717063,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,98.1,30.5,23.871740615212797,17.55348725178436
"[109.4, 47.6]",Juan Ignacio Gómez Taleb,386651.0,Center Attacking Midfield,1,0,0.03135928,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.4,47.6,13.043005788544292,28.820497152441188
"[87.5, 38.7]",Luca Marrone,31572.0,Left Center Midfield,0,0,0.02493422,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,87.5,38.7,32.52598960831169,14.011139621931525
"[111.7, 44.1]",Fabio Quagliarella,7011.0,Center Forward,0,0,0.10253515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,111.7,44.1,9.257429448826493,43.61102841915146
"[113.1, 43.9]",Andrea Ranocchia,7962.0,Center Back,1,0,0.17197546,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.1,43.9,7.925906888173748,49.695776656109736
"[89.2, 53.9]",Josip Iličić,7139.0,Center Attacking Midfield,0,0,0.007535574,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,89.2,53.9,33.79127106221368,12.344930379363504
"[104.2, 55.3]",Josip Iličić,7139.0,Center Attacking Midfield,0,0,0.028706107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,104.2,55.3,21.99386278033033,15.122464611793463
"[114.2, 48.1]",Konstantinos Manolas,7048.0,Right Center Back,1,0,0.063457,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,114.2,48.1,9.962429422585638,29.133431363831345
"[115.0, 43.6]",Stephan El Shaarawy,6979.0,Left Center Forward,0,1,0.43276036,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,115.0,43.6,6.161168720299746,61.233213913423846
"[97.5, 55.1]",Mohamed Salah,3531.0,Right Center Forward,0,1,0.025282087,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,97.5,55.1,27.097232330996462,14.068897689803276
"[103.6, 49.5]",Diego Perotti,7456.0,Center Attacking Midfield,0,1,0.36360434,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.6,49.5,18.95283619936605,20.920517736644275
"[97.6, 25.2]",Alberto Facundo Costa,26728.0,Left Defensive Midfield,0,1,0.021839432,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,97.6,25.2,26.84771871127974,14.265547657943774
"[112.5, 43.9]",Nikola Kalinić,7033.0,Center Forward,0,1,0.110474676,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,112.5,43.9,8.453401682163221,47.251765989757786
"[108.5, 43.0]",Seydou Kéita,20169.0,Center Defensive Midfield,1,0,0.057113506,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,108.5,43.0,11.884864324004713,36.298433595914474
"[110.0, 39.2]",Diego Perotti,7456.0,Center Attacking Midfield,0,1,0.4149611,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,110.0,39.2,10.031948963187562,43.38567744936222
"[100.9, 45.2]",Radja Nainggolan,6962.0,Left Center Midfield,0,0,0.08485645,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.9,45.2,19.795201438732565,22.12396281632978
