,player_id,player,statsbomb_name_norm,Player Name,fifa_name_norm,match_name_norm,Att. Position,Finishing,Shot Power,Long Shots,Volleys,Penalties,Heading,Source,match_method,match_score
0,3517.0,Aaron Ramsey,aaron ramsey,Aaron Ramsey,aaron ramsey,aaron ramsey,83.0,75.0,81.0,75.0,79.0,75.0,58.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
1,3668.0,Theo Walcott,theo walcott,Theo Walcott,theo walcott,theo walcott,79.0,82.0,75.0,69.0,72.0,74.0,55.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
2,5594.0,Branislav Ivanović,branislav ivanovic,Branislav Ivanović,branislav ivanovic,branislav ivanovic,61.0,57.0,73.0,62.0,48.0,58.0,87.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
3,3381.0,Nemanja Matić,nemanja matic,Nemanja Matić,nemanja matic,nemanja matic,68.0,64.0,78.0,75.0,74.0,69.0,77.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
4,3621.0,Eden Hazard,eden hazard,Eden Hazard,eden hazard,eden hazard,84.0,81.0,79.0,82.0,79.0,86.0,57.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
5,6623.0,Loïc Rémy,loic remy,Loïc Rémy,loic remy,loic remy,81.0,83.0,78.0,77.0,71.0,78.0,81.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
6,28100.0,Ramires Santos do Nascimento,ramires santos do nascimento,Ramires Santos do Nascimen.,ramires santos do nascimen,ramires santos do nascimento,77.0,68.0,77.0,72.0,75.0,85.0,64.0,manual_fifa_index,exact,100
7,11117.0,Scott Sinclair,scott sinclair,Scott Sinclair,scott sinclair,scott sinclair,74.0,72.0,73.0,65.0,65.0,82.0,69.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
8,3604.0,Olivier Giroud,olivier giroud,Olivier Giroud,olivier giroud,olivier giroud,84.0,84.0,84.0,76.0,81.0,81.0,86.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
9,3394.0,Laurent Koscielny,laurent koscielny,Laurent Koscielny,laurent koscielny,laurent koscielny,31.0,32.0,54.0,47.0,35.0,51.0,84.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
10,9533.0,Leandro Bacuna,leandro bacuna,Leandro Bacuna,leandro bacuna,leandro bacuna,68.0,67.0,83.0,70.0,71.0,76.0,63.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
11,3450.0,Jordan Ayew,jordan ayew,Jordan Ayew,jordan ayew,jordan ayew,74.0,77.0,76.0,74.0,74.0,74.0,77.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
12,9642.0,Alan Hutton,alan hutton,Alan Hutton,alan hutton,alan hutton,66.0,41.0,59.0,47.0,43.0,49.0,62.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
13,19362.0,Rudy Gestede,rudy gestede,Rudy Gestede,rudy gestede,rudy gestede,74.0,76.0,76.0,68.0,67.0,66.0,84.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
14,7153.0,Jordan Veretout,jordan veretout,Jordan Veretout,jordan veretout,jordan veretout,68.0,71.0,77.0,74.0,70.0,77.0,53.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
15,3528.0,Kieran Gibbs,kieran gibbs,Kieran Gibbs,kieran gibbs,kieran gibbs,65.0,47.0,72.0,65.0,47.0,63.0,68.0,yarknyorulmaz/fifa-index-player-ratings-dataset-epl-v16-v24,exact,100
